"Mono","MDM.IV","MDM.FABP4lo","MDM.FABP4hi","MDM.inflam","MDM.PLA2G7hi","IM"
"KLF2","GLMP","MDH2","C2","LRRC8B","SLC36A1","C3orf38"
"C9orf78","TCF4","TCF7L2","SEPTIN11","NAB1","GAS7","CCL3L1"
"TREM1","TBC1D12","ZC2HC1A","KIF16B","RNF19B","LPCAT3","DDX60"
"COMMD8","LINC01504","TMEM243","PDCL","ISG20","TRIM24","MOV10"
"SSNA1","NFIC","APEX1","AGPAT2","BCL2","MAPK6","GLT1D1"
"NDUFS7","CTTNBP2NL","TTC39C","IGFBP2","GBP5","SLC43A3","DUSP10"
"TXNDC17","GAS7","NAA20","EIF2B3","LRP12","TMEM140","SULF2"
"NDUFB10","TM7SF3","TNFSF12","HSD17B11","CXCL8","PABPC4","RBCK1"
"DGKD","SLC2A9","DUT","PRKACB","SLC8B1","SUSD1","RUNX3"
"AQP3","ATG4C","AVPI1","LMAN1","LINC01004","SNCA","ATF3"
"LINC00607","DNMT1","CUTA","MRPS15","NDRG1","TP53BP2","ZHX2"
"CNIH1","SNX24","ROGDI","CABLES1","ERO1B","UBASH3B","CLEC4E"
"NDUFS3","KIF16B","CFAP298","SPARC","DUSP10","RMDN3","RAB39A"
"CSTA","APPL2","MRPS24","FCGR1A","CDKN1A","SLC17A5","FRMD3"
"TGFBR2","ZNF33A","VAT1","ZBTB44","LINC-PINT","RRAGD","NRIR"
"NUP214","GAA","C20orf27","WDR49","BMT2","HIVEP1","RASGRP3"
"CEBPA","PIGN","APOL4","SLC27A3","MIR4435-2HG","GPR137B","TLNRD1"
"APRT","DDB2","MCF2L2","LRPAP1","LILRA1","GGA1","TBC1D22B"
"ACADVL","RAD50","MRPS34","OSBPL11","GPR183","CAMKK2","LILRB4"
"ATP8B4","LYPLAL1","ASGR1","TKT","ZNF433-AS1","RFTN1","PRDM1"
"ENTPD1","RASSF4","ALOX5AP","LSM6","CLIP2","TNFRSF14","CASP10"
"ATF4","ABCC3","BSG","ARL4A","AGO2","ATP13A3","TMEM106A"
"NIFK","FOXO1","LSM4","PRAM1","RFTN1","PKD2","JUP"
"SNRPF","CD84","CRLS1","SCP2","GABPB1","IARS","CD2AP"
"MRPS35","HSPBAP1","ATP5MC1","LINC00607","RNF145","GBA","TNFSF10"
"PDE4D","BANK1","FRY","CYB5R3","TLE3","FYN","DDIT3"
"SMAD7","VGLL4","MRPL11","THBD","BTG3","RALA","IFITM2"
"TTC7A","NAAA","DPY30","SCIMP","STK38L","ABCC5","HIF1A-AS3"
"OSBPL11","CDC42BPA","MPC2","AIG1","TJP2","NECTIN2","SRGAP2B"
"XPOT","MARCKS","ARMC8","CR1","LILRB1","MARCKS","TRIM69"
"BCL2L11","PPFIBP2","CDC42EP3","MAN2B2","CXCR4","PEA15","RELA"
"ANP32A","SCN1A-AS1","UQCC2","ACVRL1","MALT1","TNS1","SAMD9"
"TMEM160","WWC2","RAB13","HIPK2","ADAM8","ABCA1","SGTB"
"EVI2B","EXOC6B","LEPROTL1","MAP4K3-DT","PHLPP1","CTTNBP2NL","P2RY14"
"PCSK5","ENTPD1-AS1","MICOS13","FAM222B","SESN3","KIAA0930","GRAMD1B"
"ESD","PDP1","NDUFB10","ACAT1","CHSY1","RASA3","FAM241A"
"NAA20","STAU2","ATRAID","ST7","MMP2-AS1","CALU","CD69"
"MRPS23","CYSLTR2","ERGIC2","ECHDC1","CXCL2","CHKA","LDLR"
"TUFM","STRADA","CFD","SIK2","LONRF1","GAS2L3","CCR5"
"TNFSF12","FGL2","ERGIC3","PYURF","HIF1A-AS3","PRKCB","SCO2"
